iter	Logloss
0	0.6778582285
1	0.6633679836
2	0.6496700663
3	0.6368253933
4	0.6251816631
5	0.6126654915
6	0.6016519354
7	0.591059785
8	0.5814565555
9	0.5724669368
10	0.5639060433
11	0.5562861721
12	0.5492615194
13	0.5428401048
14	0.536531792
15	0.5298370313
16	0.5239026817
17	0.5180530847
18	0.5122127295
19	0.5069251313
20	0.5022215401
21	0.4981340101
22	0.4938044102
23	0.489956246
24	0.4859501397
25	0.4820600426
26	0.4786079889
27	0.4751584468
28	0.4718699011
29	0.4688525232
30	0.4658136774
31	0.4635495012
32	0.4606780199
33	0.457977881
34	0.4555850907
35	0.4534055574
36	0.4512648298
37	0.449435151
38	0.4474945974
39	0.4454756179
40	0.4435920968
41	0.4420138199
42	0.4403785197
43	0.43874352
44	0.4374709476
45	0.4359758127
46	0.4345789112
47	0.4331812163
48	0.4317894157
49	0.4304040437
50	0.4290551701
51	0.4279087331
52	0.4268854618
53	0.4258131545
54	0.424675799
55	0.4237247677
56	0.4226481949
57	0.421742796
58	0.4208799317
59	0.4199246626
60	0.4191800444
61	0.4184535403
62	0.4175403317
63	0.4167000329
64	0.4159055099
65	0.4152056525
66	0.4145969316
67	0.4138099022
68	0.4132326926
69	0.4127406961
70	0.4120373365
71	0.4115382401
72	0.4109352262
73	0.4104354695
74	0.4098569958
75	0.4092454208
76	0.4087065351
77	0.4081555782
78	0.4077406753
79	0.4072054616
80	0.4067837023
81	0.4062376141
82	0.405804605
83	0.4053225834
84	0.4048959586
85	0.4045240952
86	0.4040135904
87	0.4035833436
88	0.4030919709
89	0.402714288
90	0.4022759825
91	0.4019205467
92	0.4014738748
93	0.4011532353
94	0.4007141012
95	0.4003080191
96	0.4000083046
97	0.3995730117
98	0.399084885
99	0.3987598796
100	0.3984819323
101	0.3980767841
102	0.3976523104
103	0.3974006618
104	0.3971213743
105	0.3966911161
106	0.3964193221
107	0.3962842314
108	0.3960261001
109	0.3957109328
110	0.3954394606
111	0.3951588004
112	0.3949814957
113	0.3947251986
114	0.3944326527
115	0.3942400917
116	0.393890099
117	0.3937020183
118	0.3935032228
119	0.3933230349
120	0.3931320471
121	0.3928167902
122	0.3925573824
123	0.3922899199
124	0.3920476797
125	0.3917009109
126	0.3915330777
127	0.3913228315
128	0.391077355
129	0.390838389
130	0.3906120755
131	0.3904228124
132	0.3901795533
133	0.3900437374
134	0.3898557811
135	0.3895120177
136	0.389275021
137	0.3890195628
138	0.3888434199
139	0.3885654847
140	0.3883736874
141	0.3881050927
142	0.3879172035
143	0.3876967534
144	0.3875330713
145	0.387370462
146	0.3872554967
147	0.3870384127
148	0.3868025338
149	0.3867171569
150	0.3865948586
151	0.3864440055
152	0.3862260167
153	0.3860496501
154	0.3859190046
155	0.3856482361
156	0.3854849449
157	0.3852957511
158	0.3852674736
159	0.3849670362
160	0.3846706547
161	0.384441995
162	0.3841766088
163	0.3839584116
164	0.3837388981
165	0.3834496434
166	0.3833192252
167	0.3831922266
168	0.3830434617
169	0.3828302848
170	0.3827198878
171	0.3826348045
172	0.382399693
173	0.3822135427
174	0.3819214691
175	0.3817670859
176	0.3816064007
177	0.3813909405
178	0.381083583
179	0.3808892198
180	0.3807123256
181	0.3805497904
182	0.3803272442
183	0.3802350548
184	0.3800074536
185	0.379849468
186	0.3796474186
187	0.3795812315
188	0.3794048254
189	0.3792568044
190	0.3791541568
191	0.3790530504
192	0.3789381522
193	0.3787140076
194	0.3785691978
195	0.3784029783
196	0.3782635275
197	0.3780638782
198	0.3779266676
199	0.3777630773
200	0.3775204042
201	0.3773972214
202	0.3772198508
203	0.3771522978
204	0.3769954296
205	0.3769307101
206	0.3767380947
207	0.3766231789
208	0.3764626529
209	0.3763585604
210	0.3763544742
211	0.3761340926
212	0.3759340923
213	0.3758428085
214	0.375707871
215	0.3756508952
216	0.3755377124
217	0.3753302471
218	0.3752068079
219	0.3750134198
220	0.3747629513
221	0.3746816719
222	0.3746695323
223	0.3745247576
224	0.3744475694
225	0.374278909
226	0.3741993106
227	0.3740662057
228	0.3739589758
229	0.3738529067
230	0.3736591345
231	0.3734616222
232	0.373324401
233	0.3731716497
234	0.3730338795
235	0.3729919366
236	0.3727940829
237	0.3726846282
238	0.3725391895
239	0.3724155603
240	0.3722313357
241	0.3721074715
242	0.3719587525
243	0.3717404354
244	0.3716345483
245	0.3714704043
246	0.3713177042
247	0.3711796559
248	0.371087875
249	0.3709734158
250	0.370865435
251	0.3706971692
252	0.3705957544
253	0.370350724
254	0.3701900752
255	0.3700370432
256	0.3699130913
257	0.3698006776
258	0.3696670077
259	0.3696314123
260	0.3694496222
